ID,Row,Column,Plate
Q38,11,8,2
Q136,11,9,2
HKPR022,11,10,2
S120,11,11,2
HKPR023,11,12,2
S130,11,13,2
HKPR024,11,14,2
S131,11,15,2
Q213,11,16,2
S140,11,17,2
MKPR281,11,18,2
S151,11,19,2
H226,11,20,2
S156,11,21,2
H268,11,22,2
S24,11,23,2
H302,11,24,2
RKPB110,12,1,2
25,12,2,2
RKPB111,12,3,2
RKPR012,12,4,2
RKPB112,12,5,2
DKPR004,12,6,2
RKPB113,12,7,2
DKPR005,12,8,2
RKPB115,12,9,2
DKPU021,12,10,2
RKPB410,12,11,2
HKPB11,12,12,2
RKPB411,12,13,2
HKPB58,12,14,2
RKPB412,12,15,2
HKPB59,12,16,2
RKPB413,12,17,2
MKPU143,12,18,2
RKPB414,12,19,2
RKPR009,12,20,2
MKP103,12,21,2
MKPU139,12,22,2
RKPB416,12,23,2
MKPU142,12,24,2
TK3,13,1,2
MKPR280,13,2,2
MKPU278,13,3,2
MKPR283,13,4,2
T157,13,5,2
S56,13,6,2
T4,13,7,2
S42,13,8,2
T40,13,9,2
S48,13,10,2
TK102,13,11,2
S54,13,12,2
TK115,13,13,2
S126,13,14,2
TK122,13,15,2
S158,13,16,2
TK35,13,17,2
N652,13,18,2
TK88,13,19,2
N695,13,20,2
TK93,13,21,2
N698,13,22,2
DKPB006,13,23,2
N1119,13,24,2
RKPR124,14,1,2
RKPU061,14,2,2
RKPR125,14,3,2
MKPU111,14,4,2
RKPB327,14,5,2
MKPU101,14,6,2
MKP103,14,7,2
MKPU102,14,8,2
RKPB401,14,9,2
RKPR071,14,10,2
RKPB403,14,11,2
HKPU109,14,12,2
RKPB404,14,13,2
RKPB521,14,14,2
RKPB406,14,15,2
RKPB522,14,16,2
RKPB407,14,17,2
HKPB401,14,18,2
RKPB408,14,19,2
JKPB622,14,20,2
RKPB409,14,21,2
RKPB523,14,22,2
RKPB318,14,23,2
R145,14,24,2
JZ17,15,1,2
R348,15,2,2
M1382,15,3,2
R1160,15,4,2
DKPU051,15,5,2
R1296,15,6,2
MKPR016,15,7,2
TK9,15,8,2
M945,15,9,2
TK119,15,10,2
R541,15,11,2
MKPU282,15,12,2
R713,15,13,2
HA-119,15,14,2
HA70,15,15,2
HA-138,15,16,2
J48,15,17,2
GR-50,15,18,2
N674,15,19,2
B61,15,20,2
N703,15,21,2
J76,15,22,2
N73,15,23,2
JZ19,15,24,2
RKPB319,16,1,2
JKPB629,16,2,2
RKPB320,16,3,2
JKPB632,16,4,2
RKPB321,16,5,2
RKPB524,16,6,2
RKPB322,16,7,2
R144,16,8,2
RKPB323,16,9,2
JKPB644,16,10,2
RKPB324,16,11,2
MKPB011,16,12,2
RKPB325,16,13,2
MKPR005,16,14,2
RKPB326,16,15,2
MKPR006,16,16,2
RKPB309,16,17,2
MKPR008,16,18,2
RKPB310,16,19,2
MKPR009,16,20,2
RKPB311,16,21,2
MKPR010,16,22,2
RKPB312,16,23,2
MKPR011,16,24,2
JZ21,1,1,3
153,1,2,3
JZ25,1,3,3
151,1,4,3
JZ33,1,5,3
148,1,6,3
JZ37,1,7,3
MKPU277,1,8,3
JZ42,1,9,3
140,1,10,3
JZ56,1,11,3
DKPU052,1,12,3
M1107,1,13,3
125,1,14,3
H399,1,15,3
124,1,16,3
H411,1,17,3
116,1,18,3
R3,1,19,3
195A,1,20,3
R311,1,21,3
194C,1,22,3
R313,1,23,3
133B,1,24,3
JKPB501,2,1,3
RKPR062,2,2,3
JKPB502,2,3,3
RKPR063,2,4,3
JKPB503,2,5,3
RKPR064,2,6,3
RKPR133,2,7,3
RKPR067,2,8,3
JKPB505,2,9,3
RKPR068,2,10,3
JKPB509,2,11,3
RKPR069,2,12,3
JKPB511,2,13,3
MKPB241,2,14,3
MKPU107,2,15,3
